Rank,Release,Opening,Total Gross,% of Total,Theaters,Average,Date,Distributor
616,Shazam! Fury of the Gods,30111158,57638006,52.2,4071,7396,2023-03-17,Warner Bros.
617,The Best Man Holiday,30107555,70525195,42.7,2024,14875,2013-11-15,Universal Pictures
618,Trainwreck,30097040,110212700,27.3,3158,9530,2015-07-17,Universal Pictures
619,Prince of Persia: The Sands of Time,30095259,90759676,33.2,3646,8254,2010-05-28,Walt Disney Studios Motion Pictures
620,Dodgeball: A True Underdog Story,30070196,114326736,26.3,2694,11161,2004-06-18,Twentieth Century Fox
621,A Series of Unfortunate Events,30061756,118634549,25.3,3620,8304,2004-12-17,Paramount Pictures
622,Sleepy Hollow,30060467,101071502,29.7,3064,9810,1999-11-19,Paramount Pictures
623,Panic Room,30056751,96397334,31.2,3053,9844,2002-03-29,Sony Pictures Releasing
624,The Exorcism of Emily Rose,30054300,75072454,40,2981,10081,2005-09-09,Screen Gems
625,Saw V,30053954,56746769,53,3060,9821,2008-10-24,Lionsgate Films
626,Catch Me If You Can,30053627,164615351,18.3,3156,9522,2002-12-25,DreamWorks Distribution
627,A Christmas Carol,30051075,137855863,21.8,3683,8159,2009-11-06,Walt Disney Studios Motion Pictures
628,Men in Black: International,30035838,80001807,37.5,4224,7110,2019-06-14,Sony Pictures Releasing
629,Madea's Family Reunion,30030661,63257940,47.5,2194,13687,2006-02-24,Lionsgate Films
630,Bullet Train,30030156,103368602,29,4357,6892,2022-08-05,Sony Pictures Releasing
631,Scream,30018805,81641405,36.8,3664,8192,2022-01-14,Paramount Pictures
632,Meg 2: The Trench,30002735,82600317,36.3,3503,8564,2023-08-04,Warner Bros.
633,Trolls Band Together,30002525,102996915,29.1,3870,7752,2023-11-17,Universal Pictures
634,The Purge: Anarchy,29816675,71962800,41.4,2805,10629,2014-07-18,Universal Pictures
635,Elysium,29807393,93050117,32,3284,9076,2013-08-09,TriStar Pictures
636,Hercules,29800263,72688614,41,3595,8289,2014-07-25,Paramount Pictures
637,Constantine,29769098,75976178,39.2,3006,9903,2005-02-18,Warner Bros.
638,What Lies Beneath,29702959,155464351,19.1,2813,10559,2000-07-21,DreamWorks Distribution
639,The Flintstones,29688730,130531208,22.7,2498,11885,1994-05-27,Universal Pictures
640,Dark Shadows,29685274,79727149,37.2,3755,7905,2012-05-11,Warner Bros.
641,Daddy's Home 2,29651193,104029443,28.5,3575,8294,2017-11-10,Paramount Pictures
642,Creed,29632823,109767581,27,3404,8705,2015-11-25,Warner Bros.
643,Elemental,29602429,154426697,19.2,4035,7336,2023-06-16,Walt Disney Studios Motion Pictures
644,Insidious: The Last Key,29581355,67745330,43.7,3116,9493,2018-01-05,Universal Pictures
645,Justin Bieber: Never Say Never,29514054,73013910,40.4,3105,9505,2011-02-11,Paramount Pictures
