Rank,Release,Opening,Total Gross,% of Total,Theaters,Average,Date,Distributor
798,Jack and Jill,25003575,74158157,33.7,3438,7272,2011-11-11,Sony Pictures Releasing
799,Skyscraper,24905015,68420120,36.4,3782,6585,2018-07-13,Universal Pictures
800,Flight,24900566,93772375,26.6,1884,13216,2012-11-02,Paramount Pictures
801,White House Down,24852258,73103784,34,3222,7713,2013-06-28,Sony Pictures Releasing
802,A Good Day to Die Hard,24834845,67349198,36.9,3553,6989,2013-02-14,Twentieth Century Fox
803,True Grit,24830443,171243005,14.5,3047,8149,2010-12-22,Paramount Pictures
804,The Call of the Wild,24791624,62342368,39.8,3752,6607,2020-02-21,20th Century Studios
805,The Other Woman,24763752,83911193,29.5,3205,7726,2014-04-25,Twentieth Century Fox
806,Predators,24760882,52000688,47.6,2669,9277,2010-07-09,Twentieth Century Fox
807,Zombieland,24733155,75590286,32.7,3036,8146,2009-10-02,Sony Pictures Releasing
808,10 Cloverfield Lane,24727437,72082998,34.3,3391,7292,2016-03-11,Paramount Pictures
809,Taken,24717037,145000989,17,3183,7765,2009-01-30,Twentieth Century Fox
810,The Accountant,24710273,86260045,28.6,3332,7416,2016-10-14,Warner Bros.
811,Collateral,24701458,101005703,24.5,3188,7748,2004-08-06,DreamWorks Distribution
812,Congo,24642539,81022101,30.4,2649,9302,1995-06-09,Paramount Pictures
813,The Butler,24637312,116632095,21.1,2933,8400,2013-08-16,The Weinstein Company
814,The Predator,24632284,51024708,48.3,4037,6101,2018-09-14,Twentieth Century Fox
815,Flightplan,24629938,89707299,27.5,3424,7193,2005-09-23,Walt Disney Studios Motion Pictures
816,Knowing,24604751,79957634,30.8,3332,7384,2009-03-20,Summit Entertainment
817,Christopher Robin,24585139,99215042,24.8,3602,6825,2018-08-03,Walt Disney Studios Motion Pictures
818,Eraser,24566446,101295562,24.2,2410,10193,1996-06-21,Warner Bros.
819,The Girl on the Train,24536265,75395035,32.5,3144,7804,2016-10-07,Universal Pictures
820,The Emoji Movie,24531923,86089513,28.5,4075,6020,2017-07-28,Sony Pictures Releasing
821,Evil Dead Rise,24504315,67233054,36.4,3402,7202,2023-04-21,Warner Bros.
822,Pet Sematary,24502775,54724696,44.8,3585,6834,2019-04-05,Paramount Pictures
823,Act of Valor,24476632,70012847,35,3039,8054,2012-02-24,Relativity Media
824,Forrest Gump,24450602,329694499,7.4,1595,15329,1994-07-06,Paramount Pictures
825,Mean Girls,24432195,86058055,28.4,2839,8605,2004-04-30,Paramount Pictures
826,Failure to Launch,24411322,88715192,27.5,3057,7985,2006-03-10,Paramount Pictures
827,Race to Witch Mountain,24402214,67172594,36.3,3187,7656,2009-03-13,Walt Disney Studios Motion Pictures
828,Contraband,24349815,66528000,36.6,2863,8505,2012-01-13,Universal Pictures
829,The Chronicles of Riddick,24289165,57761012,42,2757,8809,2004-06-11,Universal Pictures
830,The Haunted Mansion,24278410,75847266,32,3122,7776,2003-11-26,Walt Disney Studios Motion Pictures
831,The Last Samurai,24271354,111127263,21.8,2908,8346,2003-12-05,Warner Bros.
832,TMNT,24255205,54149098,44.8,3110,7799,2007-03-23,Warner Bros.
833,No Good Deed,24250283,52543632,46.2,2175,11149,2014-09-12,Screen Gems
834,Barbershop 2: Back in Business,24241612,65111277,37.2,2711,8941,2004-02-06,Metro-Goldwyn-Mayer
835,"Me, Myself & Irene",24209385,90570999,26.7,3019,8019,2000-06-23,Twentieth Century Fox
836,The Addams Family,24203754,113502426,21.3,2411,10038,1991-11-22,Paramount Pictures
837,Coach Carter,24182961,67264877,36,2524,9581,2005-01-14,Paramount Pictures
838,Maze Runner: The Death Cure,24167011,58032443,41.6,3787,6381,2018-01-26,Twentieth Century Fox
839,Warcraft,24166110,47365290,51,3400,7107,2016-06-10,Universal Pictures
840,Con Air,24131738,101117573,23.9,2824,8545,1997-06-06,Walt Disney Studios Motion Pictures
841,Exodus: Gods and Kings,24115934,65014513,37.1,3503,6884,2014-12-12,Twentieth Century Fox
842,White Noise,24113565,56386759,42.8,2261,10665,2005-01-07,Universal Pictures
843,21,24105943,81159365,29.7,2648,9103,2008-03-28,Sony Pictures Releasing
844,The Conjuring: The Devil Made Me Do It,24104332,65631050,36.7,3102,7770,2021-06-04,Warner Bros.
845,Haunted Mansion,24082475,67653287,35.6,3740,6439,2023-07-28,Walt Disney Studios Motion Pictures
846,Arrival,24074047,100546139,23.9,2317,10390,2016-11-11,Paramount Pictures
847,Tower Heist,24025190,78046570,30.8,3367,7135,2011-11-04,Universal Pictures
848,Pixels,24011616,78747585,30.5,3723,6449,2015-07-24,Sony Pictures Releasing
849,The Chronicles of Narnia: The Voyage of the Dawn Treader,24005069,104386950,23,3555,6752,2010-12-10,Twentieth Century Fox
850,Monster-in-Law,24000000,82931301,28.9,3424,7009,2005-05-13,New Line Cinema
851,The Fast and the Furious: Tokyo Drift,23973840,62514415,38.4,3027,7920,2006-06-16,Universal Pictures
852,The Bad Guys,23950245,97459240,24.6,4008,5975,2022-04-22,Universal Pictures
853,Fahrenheit 9/11,23920637,119194771,20.1,868,27558,2004-06-23,Lionsgate Films
854,Captain Underpants: The First Epic Movie,23851539,73921000,32.3,3434,6945,2017-06-02,Twentieth Century Fox
855,Bad Moms,23817340,113257297,21,3215,7408,2016-07-29,STX Entertainment
856,The Town,23808032,92186262,25.8,2861,8321,2010-09-17,Warner Bros.
857,How to Lose a Guy in 10 Days,23774850,105813373,22.5,2923,8133,2003-02-07,Paramount Pictures
858,Rise of the Guardians,23773465,103412758,23,3653,6507,2012-11-21,DreamWorks
859,Paul Blart: Mall Cop 2,23762435,71038190,33.4,3633,6540,2015-04-17,Sony Pictures Releasing
860,The Fugitive,23758855,183875760,12.9,2340,10153,1993-08-06,Warner Bros.
861,Diary of a Wimpy Kid: Rodrick Rules,23751502,52698535,45.1,3167,7499,2011-03-25,Twentieth Century Fox
862,17 Again,23722310,64167069,37,3255,7287,2009-04-17,Warner Bros.
863,Fury,23702421,85817906,27.6,3173,7470,2014-10-17,Sony Pictures Releasing
864,Resident Evil: Extinction,23678580,50648679,46.8,2828,8372,2007-09-21,Screen Gems
865,Tomb Raider,23633317,58250803,40.6,3854,6132,2018-03-16,Warner Bros.
866,The Black Phone,23633220,90123230,26.2,3150,7502,2022-06-24,Universal Pictures
867,Open Season,23624548,85105259,27.8,3833,6163,2006-09-29,Sony Pictures Releasing
868,Goosebumps,23618556,80080379,29.5,3501,6746,2015-10-16,Sony Pictures Releasing
869,The Boss,23586645,63285885,37.3,3480,6777,2016-04-08,Universal Pictures
870,Dinner for Schmucks,23527839,73026337,32.2,2911,8082,2010-07-30,DreamWorks
871,Mary Poppins Returns,23523121,171958438,13.7,4090,5751,2018-12-19,Walt Disney Studios Motion Pictures
872,Dracula Untold,23514615,56280355,41.8,2885,8150,2014-10-10,Universal Pictures
873,The Amityville Horror,23507007,65233369,36,3323,7074,2005-04-15,Metro-Goldwyn-Mayer
874,Be Cool,23450212,56046979,41.8,3216,7291,2005-03-04,Metro-Goldwyn-Mayer
875,I Can Do Bad All by Myself,23446785,51733921,45.3,2255,10397,2009-09-11,Lionsgate Films
876,Save the Last Dance,23444930,91057006,25.8,2230,10513,2001-01-12,Paramount Pictures
877,Once Upon a Time in Mexico,23424118,56359780,41.6,3282,7137,2003-09-12,Sony Pictures Releasing
878,Face/Off,23387530,112276146,20.8,2621,8923,1997-06-27,Paramount Pictures
879,The Taking of Pelham 123,23373102,65452312,35.7,3074,7603,2009-06-12,Sony Pictures Releasing
880,The Polar Express,23323463,162775358,14.3,3650,6389,2004-11-10,Warner Bros.
881,Mortal Kombat,23302503,42326031,55,3073,7582,2021-04-23,Warner Bros.
882,Mortal Kombat,23283887,70454098,33,2421,9617,1995-08-18,New Line Cinema
883,Cocaine Bear,23260790,64670240,36,3534,6582,2023-02-24,Universal Pictures
884,Killers of the Flower Moon,23253655,68026901,34.2,3628,6409,2023-10-20,Paramount Pictures
885,Pineapple Express,23245025,87341380,26.6,3072,7566,2008-08-06,Sony Pictures Releasing
886,Alvin and the Chipmunks: Chipwrecked,23244744,133110742,17.5,3723,6243,2011-12-16,Twentieth Century Fox
887,Eragon,23239907,75030163,31,3020,7695,2006-12-15,Twentieth Century Fox
888,This Is It,23234394,72091016,32.2,3481,6674,2009-10-28,Sony Pictures Releasing
889,Hellboy,23172440,59623958,38.9,3028,7652,2004-04-02,Revolution Studios
890,Double Jeopardy,23162542,116741558,19.8,2547,9094,1999-09-24,Paramount Pictures
891,Jackass Forever,23154388,57743451,40.1,3604,6424,2022-02-04,Paramount Pictures
892,The Mask,23117068,119938730,19.3,2360,9795,1994-07-29,New Line Cinema
893,Star Trek: Generations,23116394,75671125,30.6,2659,8693,1994-11-18,Paramount Pictures
894,Eat Pray Love,23104523,80574010,28.7,3082,7496,2010-08-13,Sony Pictures Releasing
895,The League of Extraordinary Gentlemen,23075892,66465204,34.7,3002,7686,2003-07-11,Twentieth Century Fox
896,Smallfoot,23045635,83240103,27.7,4131,5578,2018-09-28,Warner Bros.
897,Resident Evil: Apocalypse,23036273,51201453,45,3284,7014,2004-09-10,Screen Gems
898,Star Wars: Episode VI - Return of the Jedi,23019618,252583617,9.1,1002,22973,1983-05-25,Twentieth Century Fox
899,27 Dresses,23007725,76808654,30,3057,7526,2008-01-18,Twentieth Century Fox
900,The Haunting in Connecticut,23004765,55389516,41.5,2732,8420,2009-03-27,Lionsgate Films
901,DC League of Super-Pets,23003441,93657117,24.6,4314,5332,2022-07-29,Warner Bros.
902,The Princess Diaries 2: Royal Engagement,22956453,95170481,24.1,3472,6611,2004-08-11,Walt Disney Studios Motion Pictures
903,The Game Plan,22950971,90648202,25.3,3103,7396,2007-09-28,Walt Disney Studios Motion Pictures
904,Vantage Point,22874936,72266306,31.6,3149,7264,2008-02-22,Sony Pictures Releasing
905,Jack Reacher: Never Go Back,22872490,58697076,39,3780,6050,2016-10-21,Paramount Pictures
906,The Princess Diaries,22862269,108248956,21.1,2537,9011,2001-08-03,Walt Disney Studios Motion Pictures
907,Mission to Mars,22855247,60883407,37.5,3054,7483,2000-03-10,Walt Disney Studios Motion Pictures
908,The Interpreter,22822455,72708161,31.4,2758,8275,2005-04-22,Universal Pictures
909,PAW Patrol: The Mighty Movie,22764354,65231360,34.9,3989,5706,2023-09-29,Paramount Pictures
910,Jackass: The Movie,22763437,64255312,35.4,2509,9072,2002-10-25,Paramount Pictures
911,Man on Fire,22751490,77911774,29.2,2980,7634,2004-04-21,Twentieth Century Fox
912,Mulan,22745143,120620254,18.9,2888,7875,1998-06-19,Walt Disney Studios Motion Pictures
913,Rugrats in Paris,22718184,76507756,29.7,2934,7743,2000-11-17,Paramount Pictures
914,Insidious: Chapter 3,22692741,52218558,43.5,3002,7559,2015-06-05,Focus Features
915,Unstoppable,22688457,81562942,27.8,3207,7074,2010-11-12,Twentieth Century Fox
916,Funny People,22657780,51855045,43.7,3007,7535,2009-07-31,Universal Pictures
917,Black Mass,22635037,62575678,36.2,3188,7100,2015-09-18,Warner Bros.
918,Poltergeist,22620386,47425125,47.7,3240,6981,2015-05-22,Twentieth Century Fox
919,The Time Machine,22610437,56832494,39.8,2944,7680,2002-03-08,DreamWorks Distribution
920,Smile,22609925,105935048,21.3,3645,6202,2022-09-30,Paramount Pictures
921,Bridge to Terabithia,22564612,82272442,27.4,3139,7188,2007-02-16,Walt Disney Studios Motion Pictures
922,Training Day,22550788,76631907,29.4,2712,8315,2001-10-05,Warner Bros.
923,Dick Tracy,22543911,103738726,21.7,2332,9667,1990-06-15,Walt Disney Studios Motion Pictures
924,Saw 3D,22530123,45710178,49.3,2808,8023,2010-10-29,Lionsgate Films
925,The Mask of Zorro,22525855,94095523,23.9,2515,8956,1998-07-17,Sony Pictures Releasing
926,Heaven Is for Real,22522221,91443253,24.6,2417,9318,2014-04-16,TriStar Pictures
927,The Lucky One,22518358,60457138,37.2,3155,7137,2012-04-20,Warner Bros.
928,Shallow Hal,22518295,70839203,31.8,2770,8129,2001-11-09,Twentieth Century Fox
929,Star Wars: Episode I - The Phantom Menace2012 3D Release,22469932,43456382,51.7,2655,8463,2012-02-10,Twentieth Century Fox
930,Life of Pi,22451514,124987023,18,2927,7670,2012-11-21,Twentieth Century Fox
931,The Social Network,22445653,96962694,23.2,2771,8100,2010-10-01,Sony Pictures Releasing
932,The Patriot,22413710,113330342,19.8,3061,7322,2000-06-28,Sony Pictures Releasing
933,Contagion,22403596,75658097,29.6,3222,6953,2011-09-09,Warner Bros.
934,Now You See Me 2,22383146,65075540,34.4,3232,6925,2016-06-10,Lionsgate Films
935,Walk the Line,22347341,119519402,18.7,2961,7547,2005-11-18,Twentieth Century Fox
936,The General's Daughter,22332053,102705852,21.7,2856,7819,1999-06-18,Paramount Pictures
937,Sing 2,22326230,162790990,13.7,3892,5736,2021-12-22,Universal Pictures
938,Planes,22232291,90288712,24.6,3702,6005,2013-08-09,Walt Disney Studios Motion Pictures
939,Disturbia,22224982,80209692,27.7,2925,7598,2007-04-13,DreamWorks
940,"Legally Blonde 2: Red, White & Blonde",22220670,90186328,24.6,3350,6633,2003-07-02,Metro-Goldwyn-Mayer
941,Monster House,22217226,73661010,30.2,3553,6253,2006-07-21,Sony Pictures Releasing
942,Freaky Friday,22203007,110230332,20.1,2954,7516,2003-08-06,Walt Disney Studios Motion Pictures
943,Kill Bill: Vol. 1,22200000,70099045,31.7,3102,7156,2003-10-10,Miramax
944,Die Hard with a Vengeance,22162245,100012499,22.2,2525,8777,1995-05-19,Twentieth Century Fox
945,Poseidon,22155410,60674817,36.5,3555,6232,2006-05-12,Warner Bros.
946,Diary of a Wimpy Kid,22126166,64003625,34.6,3077,7190,2010-03-19,Twentieth Century Fox
947,Ghost Rider: Spirit of Vengeance,22115334,51774002,42.7,3174,6967,2012-02-17,Sony Pictures Releasing
948,It's Complicated,22100820,112735375,19.6,2887,7655,2009-12-25,Universal Pictures
949,Ladder 49,22088204,74541707,29.6,3260,6775,2004-10-01,Walt Disney Studios Motion Pictures
950,Road to Perdition,22079481,104454762,21.1,1797,12286,2002-07-12,DreamWorks Distribution
951,Starship Troopers,22058773,54814377,40.2,2971,7424,1997-11-07,Sony Pictures Releasing
952,Star Trek: Insurrection,22052836,70187658,31.4,2620,8417,1998-12-11,Paramount Pictures
953,Chronicle,22004098,64575175,34.1,2907,7569,2012-02-03,Twentieth Century Fox
954,The Monuments Men,22003433,78031620,28.2,3083,7137,2014-02-07,Sony Pictures Releasing
955,Candyman,22001750,61186570,36,3569,6164,2021-08-27,Universal Pictures
956,Star Wars: Episode V - The Empire Strikes Back1997 Special Edition,21975993,67597694,32.5,2111,10410,1997-02-21,Twentieth Century Fox
957,Hide and Seek,21959233,51100486,43,3005,7307,2005-01-28,Twentieth Century Fox
958,Diary of a Mad Black Woman,21905089,50633099,43.3,1483,14770,2005-02-25,Lionsgate Films
959,Inspector Gadget,21889138,97403112,22.5,2814,7778,1999-07-23,Walt Disney Studios Motion Pictures
960,Unknown,21856389,63686397,34.3,3043,7182,2011-02-18,Warner Bros.
961,Dolittle,21844045,77047065,28.4,4155,5257,2020-01-17,Universal Pictures
962,Stomp the Yard,21833312,61356221,35.6,2051,10645,2007-01-12,Screen Gems
963,Notting Hill,21811180,116089678,18.8,2747,7940,1999-05-28,Universal Pictures
964,Renaissance: A Film by Beyoncé,21801216,33889684,64.3,2539,8586,2023-12-01,-
965,Lara Croft: Tomb Raider - The Cradle of Life,21783641,65660196,33.2,3222,6760,2003-07-25,Paramount Pictures
966,RED,21761408,90380162,24.1,3255,6685,2010-10-15,Summit Entertainment
967,Neighbors 2: Sorority Rising,21760405,55455765,39.2,3384,6430,2016-05-20,Universal Pictures
968,Underworld,21753759,51970690,41.9,2915,7462,2003-09-19,Screen Gems
969,Die Hard 2,21744661,117540947,18.5,2507,8673,1990-07-06,Twentieth Century Fox
970,Texas Chainsaw,21744470,34341945,63.3,2654,8193,2013-01-04,Lionsgate Films
971,Garfield: The Movie,21727611,75369589,28.8,3094,7022,2004-06-11,Twentieth Century Fox
972,Shaft,21714757,70334258,30.9,2337,9291,2000-06-16,Paramount Pictures
973,Cats & Dogs,21707617,93385515,23.2,3040,7140,2001-07-04,Warner Bros.
974,Eyes Wide Shut,21706163,55691208,39,2411,9002,1999-07-16,Warner Bros.
975,Spy Game,21689125,62362560,34.8,2770,7830,2001-11-21,Universal Pictures
976,Lights Out,21688103,67268835,32.2,2818,7696,2016-07-22,Warner Bros.
977,RoboCop,21681430,58607007,37,3372,6429,2014-02-12,Sony Pictures Releasing
978,My Best Friend's Wedding,21678377,127120029,17,2134,10158,1997-06-20,Sony Pictures Releasing
979,Bumblebee,21654047,127195589,17,3550,6099,2018-12-21,Paramount Pictures
980,Temptation: Confessions of a Marriage Counselor,21641679,51975354,41.6,2047,10572,2013-03-29,Lionsgate Films
981,London Has Fallen,21635601,62524260,34.6,3490,6199,2016-03-04,Focus Features
982,Little Man,21613176,58645052,36.8,2533,8532,2006-07-14,Revolution Studios
983,When a Stranger Calls,21607203,47860214,45.2,2999,7204,2006-02-03,Screen Gems
984,Fool's Gold,21589295,70231041,30.7,3125,6908,2008-02-08,Warner Bros.
985,Tammy,21577049,84525432,25.5,3465,6227,2014-07-02,Warner Bros.
986,Christmas with the Kranks,21570867,73780539,29.2,3393,6357,2004-11-24,Revolution Studios
987,"You, Me and Dupree",21525560,75628110,28.5,3131,6874,2006-07-14,Universal Pictures
988,Pete's Dragon,21514095,76233151,28.2,3702,5811,2016-08-12,Walt Disney Studios Motion Pictures
989,American Reunion,21514080,57011521,37.7,3192,6740,2012-04-06,Universal Pictures
990,Cruella,21496997,86103234,25,3892,5523,2021-05-28,Walt Disney Studios Motion Pictures
991,The 40-Year-Old Virgin,21422815,109449237,19.6,2845,7529,2005-08-19,Universal Pictures
992,The Stepford Wives,21406781,59484742,36,3057,7002,2004-06-11,Paramount Pictures
993,Good Boys,21402605,83140306,25.7,3204,6679,2019-08-16,Universal Pictures
994,Safe Haven,21401594,71349120,30,3223,6640,2013-02-14,Relativity Media
995,The Forbidden Kingdom,21401121,52075270,41.1,3151,6791,2008-04-18,Lionsgate Films
996,The Hitman's Bodyguard,21384504,75468583,28.3,3377,6332,2017-08-18,Lionsgate Films
997,Angel Has Fallen,21380987,69030436,31,3286,6506,2019-08-23,Lionsgate Films
998,Ice Age: Collision Course,21373064,64063008,33.4,3992,5353,2016-07-22,Twentieth Century Fox
999,Why Did I Get Married?,21353789,55204525,38.7,2011,10618,2007-10-12,Lionsgate Films
"1,000",Turbo,21312625,83028128,25.7,3806,5599,2013-07-17,Twentieth Century Fox
